ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Children,Total_Amount_Spent,Total_Purchases
5524,1957,Graduation,Single,58138.0,0.0,0,2012-09-04,58.0,635.0,88,546.0,172.0,88.0,88,3.0,8.0,10,4,7,0.0,0,0,0,0.0,0.0,1.0,69,0.0,1617.0,25.0
2174,1954,Graduation,Single,46344.0,1.0,1,2014-03-08,38.0,11.0,1,6.0,2.0,1.0,6,2.0,1.0,1,2,5,0.0,0,0,0,0.0,0.0,0.0,72,2.0,27.0,6.0
4141,1965,Graduation,Together,71613.0,0.0,0,2013-08-21,26.0,426.0,49,127.0,111.0,21.0,42,1.0,8.0,2,10,4,0.0,0,0,0,0.0,0.0,0.0,61,0.0,776.0,21.0
6182,1984,Graduation,Together,26646.0,1.0,0,2014-02-10,26.0,11.0,4,20.0,10.0,3.0,5,2.0,2.0,0,4,6,0.0,0,0,0,0.0,0.0,0.0,42,1.0,53.0,8.0
5324,1981,PhD,Married,58293.0,1.0,0,2014-01-19,94.0,173.0,43,118.0,46.0,27.0,15,5.0,5.0,3,6,5,0.0,0,0,0,0.0,0.0,0.0,45,1.0,422.0,19.0
7446,1967,Master,Together,62513.0,0.0,1,2013-09-09,16.0,520.0,42,98.0,0.0,42.0,14,2.0,6.0,4,10,6,0.0,0,0,0,0.0,0.0,0.0,59,1.0,716.0,22.0
965,1971,Graduation,Divorced,55635.0,0.0,1,2012-11-13,34.0,235.0,65,164.0,50.0,49.0,27,4.0,7.0,3,7,6,0.0,0,0,0,0.0,0.0,0.0,55,1.0,590.0,21.0
6177,1985,PhD,Married,33454.0,1.0,0,2013-05-08,32.0,76.0,10,56.0,3.0,1.0,23,2.0,4.0,0,4,8,0.0,0,0,0,0.0,0.0,0.0,41,1.0,169.0,10.0
4855,1974,PhD,Together,30351.0,1.0,0,2013-06-06,19.0,14.0,0,24.0,3.0,3.0,2,1.0,3.0,0,2,9,0.0,0,0,0,0.0,0.0,1.0,52,1.0,46.0,6.0
5899,1950,PhD,Together,5648.0,1.0,1,2014-03-13,68.0,28.0,0,6.0,1.0,1.0,13,1.0,1.0,0,0,20,1.0,0,0,0,0.0,0.0,0.0,76,2.0,49.0,2.0
1994,1983,Graduation,Married,51342.0,1.0,0,2013-11-15,11.0,5.0,5,6.0,0.0,2.0,1,1.0,1.0,0,2,7,0.0,0,0,0,0.0,0.0,0.0,43,1.0,19.0,4.0
387,1976,Basic,Married,7500.0,0.0,0,2012-11-13,59.0,6.0,16,11.0,11.0,1.0,16,1.0,2.0,0,3,8,0.0,0,0,0,0.0,0.0,0.0,50,0.0,61.0,6.0
2125,1959,Graduation,Divorced,63033.0,0.0,0,2013-11-15,82.0,194.0,61,480.0,225.0,112.0,30,1.0,3.0,4,8,2,0.0,0,0,0,0.0,0.0,0.0,67,0.0,1102.0,16.0
8180,1952,Master,Divorced,59354.0,0.0,1,2013-11-15,53.0,233.0,2,53.0,3.0,5.0,14,3.0,6.0,1,5,6,0.0,0,0,0,0.0,0.0,0.0,74,1.0,310.0,15.0
2569,1987,Graduation,Married,17323.0,0.0,0,2012-10-10,38.0,3.0,14,17.0,6.0,1.0,5,1.0,1.0,0,3,8,0.0,0,0,0,0.0,0.0,0.0,39,0.0,46.0,5.0
2114,1946,PhD,Single,82800.0,0.0,0,2012-11-24,23.0,1006.0,22,115.0,59.0,68.0,45,1.0,7.0,6,12,3,0.0,0,1,1,0.0,0.0,1.0,80,0.0,1315.0,26.0
9736,1980,Graduation,Married,41850.0,1.0,1,2012-12-24,51.0,53.0,5,19.0,2.0,13.0,4,3.0,3.0,0,3,8,0.0,0,0,0,0.0,0.0,0.0,46,2.0,96.0,9.0
4939,1946,Graduation,Together,37760.0,0.0,0,2012-08-31,20.0,84.0,5,38.0,150.0,12.0,28,2.0,4.0,1,6,7,0.0,0,0,0,0.0,0.0,0.0,80,0.0,317.0,13.0
6565,1949,Master,Married,76995.0,0.0,1,2013-03-28,91.0,1012.0,80,498.0,0.0,16.0,176,2.0,11.0,4,9,5,0.0,0,0,1,0.0,0.0,0.0,77,1.0,1782.0,26.0
2278,1985,2n Cycle,Single,33812.0,1.0,0,2012-11-03,86.0,4.0,17,19.0,30.0,24.0,39,2.0,2.0,1,3,6,0.0,0,0,0,0.0,0.0,0.0,41,1.0,133.0,8.0
9360,1982,Graduation,Married,37040.0,0.0,0,2012-08-08,41.0,86.0,2,73.0,69.0,38.0,48,1.0,4.0,2,5,8,0.0,0,0,0,0.0,0.0,0.0,44,0.0,316.0,12.0
5376,1979,Graduation,Married,2447.0,1.0,0,2013-01-06,42.0,1.0,1,1725.0,1.0,1.0,1,15.0,0.0,28,0,1,0.0,0,0,0,0.0,0.0,0.0,47,1.0,1730.0,43.0
1993,1949,PhD,Married,58607.0,0.0,1,2012-12-23,63.0,867.0,0,86.0,0.0,0.0,19,3.0,2.0,3,9,8,0.0,1,0,0,0.0,0.0,0.0,77,1.0,972.0,17.0
4047,1954,PhD,Married,65324.0,0.0,1,2014-01-11,0.0,384.0,0,102.0,21.0,32.0,5,3.0,6.0,2,9,4,0.0,0,0,0,0.0,0.0,0.0,72,1.0,544.0,20.0
1409,1951,Graduation,Together,40689.0,0.0,1,2013-03-18,69.0,270.0,3,27.0,39.0,6.0,99,7.0,7.0,1,5,8,0.0,0,0,0,0.0,0.0,0.0,75,1.0,444.0,20.0
7892,1969,Graduation,Single,18589.0,0.0,0,2013-01-02,89.0,6.0,4,25.0,15.0,12.0,13,2.0,2.0,1,3,7,0.0,0,0,0,0.0,0.0,0.0,57,0.0,75.0,8.0
2404,1976,Graduation,Married,53359.0,1.0,1,2013-05-27,4.0,173.0,4,30.0,3.0,6.0,41,4.0,5.0,1,4,7,0.0,0,0,0,0.0,0.0,0.0,50,2.0,257.0,14.0
5255,1986,Graduation,Single,51342.0,1.0,0,2013-02-20,19.0,5.0,1,3.0,3.0,263.0,362,0.0,27.0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,40,1.0,637.0,27.0
9422,1989,Graduation,Married,38360.0,1.0,0,2013-05-31,26.0,36.0,2,42.0,20.0,21.0,10,2.0,2.0,1,4,3,0.0,0,0,0,0.0,0.0,0.0,37,1.0,131.0,9.0
1966,1965,PhD,Married,84618.0,0.0,0,2013-11-22,96.0,684.0,100,801.0,21.0,8.0,0,2.0,6.0,9,10,2,0.0,0,1,0,0.0,0.0,0.0,61,0.0,1614.0,27.0
6864,1989,Master,Divorced,10979.0,0.0,0,2014-05-22,34.0,8.0,4,10.0,2.0,2.0,4,2.0,3.0,0,3,5,0.0,0,0,0,0.0,0.0,0.0,37,0.0,30.0,8.0
3033,1963,Master,Together,38620.0,0.0,0,2013-05-11,56.0,112.0,17,44.0,34.0,22.0,89,1.0,2.0,5,3,3,0.0,0,0,0,0.0,0.0,0.0,63,0.0,318.0,11.0
5710,1970,Graduation,Together,40548.0,0.0,1,2012-10-10,31.0,110.0,0,5.0,2.0,0.0,3,2.0,2.0,1,4,5,0.0,1,0,0,0.0,0.0,0.0,56,1.0,120.0,9.0
7373,1952,PhD,Divorced,46610.0,0.0,2,2012-10-29,8.0,96.0,12,96.0,33.0,22.0,43,6.0,4.0,1,6,6,0.0,0,0,0,0.0,0.0,1.0,74,2.0,302.0,17.0
8755,1946,Master,Married,68657.0,0.0,0,2013-02-20,4.0,482.0,34,471.0,119.0,68.0,22,1.0,3.0,5,9,7,0.0,0,0,0,0.0,0.0,0.0,80,0.0,1196.0,18.0
10738,1951,Master,Single,49389.0,1.0,1,2013-08-29,55.0,40.0,0,19.0,2.0,1.0,3,1.0,2.0,0,3,7,0.0,0,0,0,0.0,0.0,0.0,75,2.0,65.0,6.0
4339,1970,PhD,Married,67353.0,0.0,1,2013-12-31,37.0,702.0,17,151.0,0.0,8.0,35,5.0,5.0,6,12,2,0.0,0,0,0,0.0,0.0,0.0,56,1.0,913.0,28.0
